"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify user can login with valid credentials","5952","testLoginSuccess","Ecommerce CMS Sequential Suite","Wed Mar 25 07:51:24 UTC 2026","passed","Wed Mar 25 07:51:30 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccess"
"Verify that user can add products to cart and complete the order successfully","7977","OrderSuccessTest","Ecommerce CMS Sequential Suite","Wed Mar 25 07:50:55 UTC 2026","broken","Wed Mar 25 07:51:03 UTC 2026","com.anhtester.ecommercecms.user.testcases.OrderTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.OrderTest","OrderSuccessTest"
"Verify that user can add products to cart and complete the order successfully","7654","OrderSuccessTest","Ecommerce CMS Sequential Suite","Wed Mar 25 07:51:37 UTC 2026","broken","Wed Mar 25 07:51:45 UTC 2026","com.anhtester.ecommercecms.user.testcases.OrderTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.OrderTest","OrderSuccessTest"
"Verify user can login with invalid credentials","6767","testLoginFailed","Ecommerce CMS Sequential Suite","Wed Mar 25 07:50:48 UTC 2026","passed","Wed Mar 25 07:50:54 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginFailed"
"Find Product :Laptop Dell XPS 15 and get details ","10282","getProductInfo","Ecommerce CMS Sequential Suite","Wed Mar 25 07:51:55 UTC 2026","failed","Wed Mar 25 07:52:05 UTC 2026","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","getProductInfo"
"Verify user can login with invalid credentials","6057","testLoginFailed","Ecommerce CMS Sequential Suite","Wed Mar 25 07:51:30 UTC 2026","passed","Wed Mar 25 07:51:36 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginFailed"
"Verify user can login with valid credentials","7635","testLoginSuccess","Ecommerce CMS Sequential Suite","Wed Mar 25 07:50:39 UTC 2026","passed","Wed Mar 25 07:50:47 UTC 2026","com.anhtester.ecommercecms.user.testcases.LoginTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.LoginTest","testLoginSuccess"
"Update user profile","9720","testUpdateProfile","Ecommerce CMS Sequential Suite","Wed Mar 25 07:51:45 UTC 2026","passed","Wed Mar 25 07:51:55 UTC 2026","com.anhtester.ecommercecms.user.testcases.UpdateProfileTest","Regression Tests Sequential2","com.anhtester.ecommercecms.user.testcases.UpdateProfileTest","testUpdateProfile"
"Find Product :Laptop Dell XPS 15 and get details ","10318","getProductInfo","Ecommerce CMS Sequential Suite","Wed Mar 25 07:51:13 UTC 2026","failed","Wed Mar 25 07:51:24 UTC 2026","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.GetProductInfoTest","getProductInfo"
"Update user profile","9674","testUpdateProfile","Ecommerce CMS Sequential Suite","Wed Mar 25 07:51:03 UTC 2026","passed","Wed Mar 25 07:51:13 UTC 2026","com.anhtester.ecommercecms.user.testcases.UpdateProfileTest","Regression Tests Sequential","com.anhtester.ecommercecms.user.testcases.UpdateProfileTest","testUpdateProfile"
